Date,KOSPI,PER,PBR
2002-01-02,724.95,27.05,
2002-01-03,727.66,27.13,
2002-01-04,747.72,28.29,
2002-01-07,751.48,28.42,
2002-01-08,734.76,27.79,
2002-01-09,751.61,28.38,
2002-01-10,728.23,27.5,
2002-01-11,727.36,27.49,
2002-01-14,744.03,28.1,
2002-01-15,718.64,27.4,
2002-01-16,710.95,27.13,
2002-01-17,713.5,27.16,
2002-01-18,708.47,26.87,
2002-01-21,717.35,28.77,
2002-01-22,724.36,29.18,
2002-01-23,742.62,29.98,
2002-01-24,757.71,30.61,
2002-01-25,774.68,31.29,
2002-01-28,780.24,31.5,
2002-01-29,774.03,31.26,
2002-01-30,749.45,29.82,
2002-01-31,748.07,29.78,
2002-02-01,742.42,29.54,
2002-02-04,730.21,29.19,
2002-02-05,739.91,29.53,
2002-02-06,741.55,29.62,
2002-02-07,727.71,29.01,
2002-02-08,739.66,29.51,
2002-02-14,796.18,31.82,
2002-02-15,783.59,31.29,
2002-02-18,790.37,31.58,
2002-02-19,782.27,31.24,
2002-02-20,776.89,31.29,
2002-02-21,787.62,31.71,
2002-02-22,792.0,31.9,
2002-02-25,791.48,31.86,
2002-02-26,801.14,32.53,
2002-02-27,822.11,33.39,
2002-02-28,819.99,33.44,
2002-03-04,834.21,34.06,
2002-03-05,841.95,34.37,
2002-03-06,843.06,34.4,
2002-03-07,829.44,33.85,
2002-03-08,825.27,33.69,
2002-03-11,827.02,33.81,
2002-03-12,846.03,34.62,
2002-03-13,849.13,34.8,
2002-03-14,856.86,35.14,
2002-03-15,860.36,34.86,
2002-03-18,869.71,34.67,
2002-03-19,889.98,35.52,
2002-03-20,887.48,35.46,
2002-03-21,885.64,35.44,
2002-03-22,895.98,35.86,
2002-03-25,879.41,38.6,
2002-03-26,881.03,38.67,
2002-03-27,902.46,41.93,
2002-03-28,892.67,41.49,
2002-03-29,895.58,41.6,
2002-04-01,875.83,40.38,
2002-04-02,905.34,42.33,
2002-04-03,918.59,42.97,
2002-04-04,918.01,42.6,
2002-04-08,900.69,41.76,
2002-04-09,888.67,42.55,
2002-04-10,856.03,41.02,
2002-04-11,862.86,41.46,
2002-04-12,875.69,42.12,
2002-04-15,894.28,43.03,
2002-04-16,901.29,43.37,
2002-04-17,930.51,44.8,
2002-04-18,937.61,45.1,
2002-04-19,923.94,44.42,
2002-04-22,920.89,40.69,
2002-04-23,925.7,31.77,1.53
2002-04-24,915.69,31.4,1.51
2002-04-25,872.58,29.95,1.44
2002-04-26,869.65,29.89,1.44
2002-04-29,838.51,28.82,1.39
2002-04-30,842.34,28.96,1.4
2002-05-02,859.86,29.54,1.42
2002-05-03,856.72,29.16,1.42
2002-05-06,826.87,28.39,1.37
2002-05-07,826.34,28.04,1.38
2002-05-08,844.67,28.62,1.41
2002-05-09,838.67,28.39,1.4
2002-05-10,817.93,27.76,1.37
2002-05-13,821.89,27.91,1.38
2002-05-14,837.37,28.71,1.42
2002-05-15,862.62,29.56,1.46
2002-05-16,858.04,29.42,1.45
2002-05-17,875.03,29.99,1.48
2002-05-20,865.78,29.66,1.45
2002-05-21,837.56,28.7,1.41
2002-05-22,863.06,29.58,1.45
2002-05-23,845.51,28.97,1.42
2002-05-24,854.57,29.28,1.43
2002-05-27,840.57,28.8,1.41
2002-05-28,848.8,29.08,1.43
2002-05-29,835.19,28.62,1.4
2002-05-30,815.61,27.97,1.37
2002-05-31,796.4,27.39,1.34
2002-06-03,804.93,27.71,1.36
2002-06-04,806.33,27.75,1.36
2002-06-05,809.59,27.82,1.36
2002-06-07,795.16,27.51,1.27
2002-06-10,811.9,28.1,1.29
2002-06-11,815.33,28.2,1.3
2002-06-12,823.06,29.26,1.31
2002-06-14,822.01,29.35,1.32
2002-06-17,809.16,28.85,1.29
2002-06-18,809.4,28.85,1.29
2002-06-19,776.37,27.68,1.24
2002-06-20,776.81,27.69,1.24
2002-06-21,778.53,27.72,1.24
2002-06-24,767.92,26.04,1.25
2002-06-25,755.92,25.64,1.23
2002-06-26,701.87,24.0,1.14
2002-06-27,710.43,24.38,1.16
2002-06-28,742.72,25.47,1.21
2002-07-02,746.23,24.64,1.21
2002-07-03,753.36,24.88,1.22
2002-07-04,768.74,25.42,1.25
2002-07-05,787.83,26.04,1.28
2002-07-08,783.35,25.89,1.27
2002-07-09,801.99,26.51,1.31
2002-07-10,794.71,26.27,1.29
2002-07-11,764.88,25.27,1.24
2002-07-12,792.93,26.24,1.29
2002-07-15,783.52,25.94,1.28
2002-07-16,771.45,25.25,1.26
2002-07-18,773.85,25.31,1.26
2002-07-19,754.62,19.34,1.22
2002-07-22,720.9,18.48,1.16
2002-07-23,743.52,19.07,1.2
2002-07-24,721.41,18.48,1.16
2002-07-25,723.52,18.54,1.16
2002-07-26,697.84,17.22,1.12
2002-07-29,700.35,17.3,1.13
2002-07-30,724.08,17.9,1.17
2002-07-31,717.99,17.76,1.16
2002-08-01,707.8,17.51,1.14
2002-08-02,700.68,17.33,1.13
2002-08-05,675.76,16.73,1.09
2002-08-06,673.78,16.7,1.09
2002-08-07,679.37,16.85,1.1
2002-08-08,684.49,17.04,1.11
2002-08-09,692.45,17.27,1.12
2002-08-12,695.39,17.34,1.13
2002-08-13,708.63,18.29,1.15
2002-08-14,711.24,18.39,1.16
2002-08-16,718.29,18.41,1.17
2002-08-19,717.58,18.43,1.17
